movie_id,title,hero_name
19995,Avatar,Sam Worthington
285,Pirates of the Caribbean: At World's End,Johnny Depp
206647,Spectre,Daniel Craig
49026,The Dark Knight Rises,Christian Bale
49529,John Carter,Taylor Kitsch
559,Spider-Man 3,Tobey Maguire
38757,Tangled,Zachary Levi
99861,Avengers: Age of Ultron,Robert Downey Jr.
767,Harry Potter and the Half-Blood Prince,Daniel Radcliffe
209112,Batman v Superman: Dawn of Justice,Ben Affleck
1452,Superman Returns,Brandon Routh
10764,Quantum of Solace,Daniel Craig
58,Pirates of the Caribbean: Dead Man's Chest,Johnny Depp
57201,The Lone Ranger,Johnny Depp
49521,Man of Steel,Henry Cavill
2454,The Chronicles of Narnia: Prince Caspian,Ben Barnes
24428,The Avengers,Robert Downey Jr.
1865,Pirates of the Caribbean: On Stranger Tides,Johnny Depp
41154,Men in Black 3,Will Smith
122917,The Hobbit: The Battle of the Five Armies,Martin Freeman
1930,The Amazing Spider-Man,Andrew Garfield
20662,Robin Hood,Russell Crowe
57158,The Hobbit: The Desolation of Smaug,Martin Freeman
2268,The Golden Compass,Dakota Blue Richards
254,King Kong,Naomi Watts
597,Titanic,Kate Winslet
271110,Captain America: Civil War,Chris Evans
44833,Battleship,Taylor Kitsch
135397,Jurassic World,Chris Pratt
37724,Skyfall,Daniel Craig
558,Spider-Man 2,Tobey Maguire
68721,Iron Man 3,Robert Downey Jr.
12155,Alice in Wonderland,Mia Wasikowska
36668,X-Men: The Last Stand,Hugh Jackman
62211,Monsters University,Billy Crystal
8373,Transformers: Revenge of the Fallen,Shia LaBeouf
91314,Transformers: Age of Extinction,Mark Wahlberg
68728,Oz: The Great and Powerful,James Franco
102382,The Amazing Spider-Man 2,Andrew Garfield
20526,TRON: Legacy,Garrett Hedlund
49013,Cars 2,Owen Wilson
44912,Green Lantern,Ryan Reynolds
10193,Toy Story 3,Tom Hanks
534,Terminator Salvation,Christian Bale
168259,Furious 7,Vin Diesel
72190,World War Z,Brad Pitt
127585,X-Men: Days of Future Past,Hugh Jackman
54138,Star Trek Into Darkness,Chris Pine
81005,Jack the Giant Slayer,Nicholas Hoult
64682,The Great Gatsby,Leonardo DiCaprio
9543,Prince of Persia: The Sands of Time,Jake Gyllenhaal
68726,Pacific Rim,Idris Elba
38356,Transformers: Dark of the Moon,Shia LaBeouf
217,Indiana Jones and the Kingdom of the Crystal Skull,Harrison Ford
105864,The Good Dinosaur,Raymond Ochoa
62177,Brave,Kelly Macdonald
188927,Star Trek Beyond,Chris Pine
10681,WALL·E,Ben Burtt
5174,Rush Hour 3,Chris Tucker
14161,2012,John Cusack
17979,A Christmas Carol,Gary Oldman
76757,Jupiter Ascending,Mila Kunis
258489,The Legend of Tarzan,Alexander Skarsgård
411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",William Moseley
246655,X-Men: Apocalypse,James McAvoy
155,The Dark Knight,Christian Bale
14160,Up,Ed Asner
15512,Monsters vs Aliens,Seth Rogen
1726,Iron Man,Robert Downey Jr.
44826,Hugo,Ben Kingsley
8487,Wild Wild West,Will Smith
1735,The Mummy: Tomb of the Dragon Emperor,Brendan Fraser
297761,Suicide Squad,Will Smith
2698,Evan Almighty,Steve Carell
137113,Edge of Tomorrow,Tom Cruise
9804,Waterworld,Kevin Costner
14869,G.I. Joe: The Rise of Cobra,Dennis Quaid
150540,Inside Out,Amy Poehler
278927,The Jungle Book,Neel Sethi
10138,Iron Man 2,Robert Downey Jr.
58595,Snow White and the Huntsman,Kristen Stewart
102651,Maleficent,Angelina Jolie
119450,Dawn of the Planet of the Apes,Andy Serkis
79698,The Lovers,Josh Hartnett
64686,47 Ronin,Keanu Reeves
100402,Captain America: The Winter Soldier,Chris Evans
10192,Shrek Forever After,Mike Myers
158852,Tomorrowland,Britt Robertson
177572,Big Hero 6,Scott Adsit
82690,Wreck-It Ralph,John C. Reilly
5255,The Polar Express,Tom Hanks
47933,Independence Day: Resurgence,Liam Hemsworth
10191,How to Train Your Dragon,Jay Baruchel
296,Terminator 3: Rise of the Machines,Arnold Schwarzenegger
118340,Guardians of the Galaxy,Chris Pratt
157336,Interstellar,Matthew McConaughey
27205,Inception,Leonardo DiCaprio
315011,Shin Godzilla,Hiroki Hasegawa
49051,The Hobbit: An Unexpected Journey,Ian McKellen
9799,The Fast and the Furious,Paul Walker
4922,The Curious Case of Benjamin Button,Cate Blanchett
49538,X-Men: First Class,James McAvoy
131634,The Hunger Games: Mockingjay - Part 2,Jennifer Lawrence
27022,The Sorcerer's Apprentice,Nicolas Cage
503,Poseidon,Kurt Russell
241259,Alice Through the Looking Glass,Johnny Depp
810,Shrek the Third,Mike Myers
68735,Warcraft,Paula Patton
87101,Terminator Genisys,Arnold Schwarzenegger
10140,The Chronicles of Narnia: The Voyage of the Dawn Treader,Skandar Keynes
676,Pearl Harbor,Ben Affleck
1858,Transformers,Shia LaBeouf
1966,Alexander,Colin Farrell
675,Harry Potter and the Order of the Phoenix,Daniel Radcliffe
674,Harry Potter and the Goblet of Fire,Daniel Radcliffe
8960,Hancock,Will Smith
6479,I Am Legend,Will Smith
118,Charlie and the Chocolate Factory,Johnny Depp
2062,Ratatouille,Patton Oswalt
272,Batman Begins,Christian Bale
10527,Madagascar: Escape 2 Africa,Ben Stiller
18360,Night at the Museum: Battle of the Smithsonian,Ben Stiller
2080,X-Men Origins: Wolverine,Hugh Jackman
605,The Matrix Revolutions,Keanu Reeves
109445,Frozen,Kristen Bell
604,The Matrix Reloaded,Keanu Reeves
76338,Thor: The Dark World,Chris Hemsworth
76341,Mad Max: Fury Road,Tom Hardy
13448,Angels & Demons,Tom Hanks
10195,Thor,Chris Hemsworth
13053,Bolt,John Travolta
19585,G-Force,Sam Rockwell
57165,Wrath of the Titans,Sam Worthington
62213,Dark Shadows,Johnny Depp
177677,Mission: Impossible - Rogue Nation,Tom Cruise
7978,The Wolfman,Benicio del Toro
5559,Bee Movie,Jerry Seinfeld
49444,Kung Fu Panda 2,Jack Black
10196,The Last Airbender,Noah Ringer
956,Mission: Impossible III,Tom Cruise
117251,White House Down,Channing Tatum
50321,Mars Needs Moms,Seth Green
11619,Flushed Away,Hugh Jackman
266647,Pan,Levi Miller
82703,Mr. Peabody & Sherman,Ty Burrell
652,Troy,Brad Pitt
80321,Madagascar 3: Europe's Most Wanted,Ben Stiller
36669,Die Another Day,Pierce Brosnan
43074,Ghostbusters,Melissa McCarthy
95,Armageddon,Bruce Willis
608,Men in Black II,Tommy Lee Jones
2310,Beowulf,Ray Winstone
140300,Kung Fu Panda 3,Jack Black
56292,Mission: Impossible - Ghost Protocol,Tom Cruise
81188,Rise of the Guardians,Chris Pine
7552,Fun with Dick and Jane,Jim Carrey
616,The Last Samurai,Tom Cruise
147441,Exodus: Gods and Kings,Christian Bale
